"N","r","BF10","Emotion","ROI","Outcome","OutcomeType","version"
70,0.0452653790527796,0.294697956995512,"sadness","Left FPC","Q3","Survey","V1_pooled"
70,0.0462524438882037,0.293989666782631,"joy","Left FPC","Q2","Survey","V1_pooled"
70,-0.0440294318553282,0.293936132271978,"joy","Left FPC","Average_duration_of_fixations","ET","V1_pooled"
70,-0.0472124520324871,0.292873861539577,"fear","Left DLPFC","Q2","Survey","V1_pooled"
70,0.0431700524177589,0.292596713493087,"sadness","Left DLPFC","Number_of_fixations","ET","V1_pooled"
67,-0.0382677975697546,0.292540520691852,"anger","Left FPC","Average_eye_openness","ET","V1_pooled"
68,0.0371847574851122,0.29183198130688,"sadness","Right FPC","Q1","Survey","V1_pooled"
73,0.0459475916461714,0.291399198239943,"sadness","Left OFC","Q1","Survey","V1_pooled"
73,0.0456413589416896,0.291399198239943,"sadness","Right OFC","Q1","Survey","V1_pooled"
65,0.0297013777151262,0.290763780876682,"disgust","Right VLPFC","Average_duration_of_fixations","ET","V1_pooled"
71,-0.0432374641438791,0.290170627921653,"disgust","Left VLPFC","Q1","Survey","V1_pooled"
65,-0.0262330724340504,0.289511358416145,"anger","Right VLPFC","Average_pupil_diameter","ET","V1_pooled"
70,0.040542001653002,0.288885396287192,"disgust","Left DLPFC","Q4","Survey","V1_pooled"
70,0.0384267709675595,0.28886418535163,"sadness","Left FPC","Q4","Survey","V1_pooled"
65,-0.02809494292228,0.288175314498297,"joy","Right VLPFC","Average_duration_of_fixations","ET","V1_pooled"
68,0.0303506162098286,0.286998748243234,"disgust","Right FPC","Average_pupil_diameter","ET","V1_pooled"
71,0.0369613275769725,0.285931560319968,"joy","Left VLPFC","Q_mean","Survey","V1_pooled"
65,0.0202287610221436,0.285621378082739,"anger","Right VLPFC","Q4","Survey","V1_pooled"
68,-0.0331276025300998,0.285547343353639,"fear","Right FPC","Q_mean","Survey","V1_pooled"
72,-0.0407944274763021,0.285333221479498,"fear","Right DLPFC","Q4","Survey","V1_pooled"
66,-0.0235269335908463,0.284813383779646,"anger","Left DLPFC","Average_eye_openness","ET","V1_pooled"
70,-0.035195909995592,0.284808697014461,"disgust","Left DLPFC","Total_duration_of_fixations","ET","V1_pooled"
65,-0.0145656573790883,0.284359575987863,"sadness","Right VLPFC","Q4","Survey","V1_pooled"
65,-0.0137068257986359,0.284012626094893,"joy","Right VLPFC","Q4","Survey","V1_pooled"
65,-0.0159486278809691,0.283697836837955,"anger","Right VLPFC","Total_duration_of_fixations","ET","V1_pooled"
71,0.0346586312097746,0.283624199572669,"sadness","Left VLPFC","Q2","Survey","V1_pooled"
70,0.0316274064882672,0.283533701838997,"anger","Left FPC","Q2","Survey","V1_pooled"
70,0.0325660138667211,0.283046422012328,"sadness","Left DLPFC","Q2","Survey","V1_pooled"
70,-0.0298491253178679,0.282572196309,"anger","Left FPC","Average_duration_of_fixations","ET","V1_pooled"
65,0.00910654166916616,0.282117016411935,"anger","Right VLPFC","Q_mean","Survey","V1_pooled"
65,-0.00506580818742598,0.281976382710948,"anger","Right VLPFC","Q2","Survey","V1_pooled"
65,0.00185928380425309,0.281881446874586,"anger","Right VLPFC","Average_duration_of_fixations","ET","V1_pooled"
68,-0.0238388966432641,0.281703372262654,"fear","Right FPC","Q4","Survey","V1_pooled"
68,0.0187529452573591,0.281063124298125,"anger","Right FPC","Q3","Survey","V1_pooled"
68,0.0197505100117875,0.280849872471889,"anger","Right DLPFC","Average_eye_openness","ET","V1_pooled"
70,0.0275423154237064,0.280627149602175,"joy","Left FPC","Q3","Survey","V1_pooled"
73,-0.0373053172757037,0.280579669637205,"fear","Left OFC","Number_of_fixations","ET","V1_pooled"
73,-0.0334233038685448,0.280579669637205,"fear","Right OFC","Number_of_fixations","ET","V1_pooled"
72,0.031914564476028,0.279920566418603,"anger","Right DLPFC","Total_duration_of_fixations","ET","V1_pooled"
70,0.0281330607885705,0.279855415099661,"joy","Left FPC","Q_mean","Survey","V1_pooled"
68,0.0165618715619943,0.279369745729869,"disgust","Right FPC","Average_duration_of_fixations","ET","V1_pooled"
68,0.0169680646480883,0.27902287855831,"fear","Right FPC","Q3","Survey","V1_pooled"
68,0.0127086229450318,0.278611257878656,"anger","Right FPC","Q_mean","Survey","V1_pooled"
70,-0.0236832428079441,0.27844023755836,"anger","Left FPC","Average_pupil_diameter","ET","V1_pooled"
70,0.0248662833250641,0.27808363658553,"joy","Left FPC","Q1","Survey","V1_pooled"
70,0.0244135725999558,0.278024072208955,"anger","Left FPC","Q1","Survey","V1_pooled"
72,0.0268460500377652,0.277807040951647,"fear","Right DLPFC","Q2","Survey","V1_pooled"
68,0.0134990005380921,0.277026912341459,"joy","Right FPC","Q3","Survey","V1_pooled"
69,-0.0192701723069326,0.277005970783762,"fear","Left OFC","Average_eye_openness","ET","V1_pooled"
69,-0.0159255072200452,0.277005970783762,"fear","Right OFC","Average_eye_openness","ET","V1_pooled"
