"N","r","BF10","Emotion","ROI","Outcome","OutcomeType","version"
19,0.133063488795402,0.606555861834007,"anger","Left OFC","Q3","Survey","V2_ptagg"
19,0.14016213972506,0.606555861834007,"anger","Right OFC","Q3","Survey","V2_ptagg"
19,-0.127267400427597,0.605477243460243,"fear","Left OFC","Average_pupil_diameter","ET","V2_ptagg"
19,-0.13297101338164,0.605477243460243,"fear","Right OFC","Average_pupil_diameter","ET","V2_ptagg"
19,-0.140120927512802,0.605159889556184,"fear","Left OFC","Total_duration_of_fixations","ET","V2_ptagg"
19,-0.13121682342364,0.605159889556184,"fear","Right OFC","Total_duration_of_fixations","ET","V2_ptagg"
20,0.129720618080698,0.602235574177267,"joy","Left VLPFC","Q_mean","Survey","V2_ptagg"
20,-0.129441231800818,0.601300739880235,"sadness","Left VLPFC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.141009447624073,0.596305443774928,"disgust","Left VLPFC","Q2","Survey","V2_ptagg"
20,-0.129661599981294,0.596175138721096,"disgust","Right FPC","Q2","Survey","V2_ptagg"
20,-0.130598720421968,0.594757395402006,"sadness","Right DLPFC","Total_duration_of_fixations","ET","V2_ptagg"
20,-0.131495593320875,0.592699109792863,"disgust","Left VLPFC","Q_mean","Survey","V2_ptagg"
20,-0.130472007400468,0.592590995816585,"fear","Left FPC","Q2","Survey","V2_ptagg"
20,0.127866876967998,0.589726197020732,"joy","Left VLPFC","Average_duration_of_fixations","ET","V2_ptagg"
20,0.13081291902061,0.589518244494484,"anger","Left VLPFC","Q3","Survey","V2_ptagg"
20,-0.120422603369487,0.587904672637677,"anger","Left VLPFC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.122960383839902,0.582467697765841,"fear","Left VLPFC","Q2","Survey","V2_ptagg"
20,-0.129048973387611,0.579663504159944,"disgust","Right DLPFC","Q_mean","Survey","V2_ptagg"
18,0.119031800346401,0.578583366072981,"anger","Right VLPFC","Q_mean","Survey","V2_ptagg"
20,-0.129572664693155,0.57845306104451,"disgust","Left FPC","Q_mean","Survey","V2_ptagg"
20,-0.128355335266051,0.576566070977593,"disgust","Right FPC","Average_pupil_diameter","ET","V2_ptagg"
19,-0.119132601413787,0.575695451601271,"fear","Left DLPFC","Q2","Survey","V2_ptagg"
19,0.114937599657456,0.570877208831452,"anger","Left DLPFC","Q4","Survey","V2_ptagg"
18,-0.113795921901914,0.570431431734402,"fear","Left OFC","Average_eye_openness","ET","V2_ptagg"
18,-0.119233593146265,0.570431431734402,"fear","Right OFC","Average_eye_openness","ET","V2_ptagg"
19,0.115901537682037,0.569866755353036,"anger","Left DLPFC","Average_duration_of_fixations","ET","V2_ptagg"
18,-0.10947424702737,0.56773495891973,"fear","Right VLPFC","Average_eye_openness","ET","V2_ptagg"
19,-0.116114503015598,0.567581477656225,"fear","Left DLPFC","Q4","Survey","V2_ptagg"
19,0.111409921682866,0.566856514714025,"disgust","Left DLPFC","Q1","Survey","V2_ptagg"
19,-0.109088352362248,0.566306964562783,"joy","Left DLPFC","Total_duration_of_fixations","ET","V2_ptagg"
20,0.112697278443033,0.56612121424479,"sadness","Right FPC","Q2","Survey","V2_ptagg"
19,-0.112949862104475,0.564416081601141,"fear","Left DLPFC","Q_mean","Survey","V2_ptagg"
20,-0.115793524107253,0.563377599391242,"disgust","Left FPC","Q4","Survey","V2_ptagg"
20,0.116996121131973,0.56187454836102,"sadness","Left FPC","Q2","Survey","V2_ptagg"
20,-0.11480735876974,0.561775665473344,"fear","Left VLPFC","Q1","Survey","V2_ptagg"
20,-0.111345594445511,0.560176055543349,"sadness","Right DLPFC","Average_pupil_diameter","ET","V2_ptagg"
20,-0.120073046592681,0.55811337922961,"anger","Left VLPFC","Total_duration_of_fixations","ET","V2_ptagg"
20,0.111518743941211,0.558077721891629,"anger","Right DLPFC","Average_duration_of_fixations","ET","V2_ptagg"
19,-0.103066845028733,0.557284888853936,"anger","Left OFC","Total_duration_of_fixations","ET","V2_ptagg"
19,-0.106705928173735,0.557284888853936,"anger","Right OFC","Total_duration_of_fixations","ET","V2_ptagg"
20,0.102804278544234,0.556573733511819,"anger","Left VLPFC","Number_of_fixations","ET","V2_ptagg"
19,-0.101768265916793,0.554645006342162,"sadness","Left DLPFC","Number_of_fixations","ET","V2_ptagg"
19,-0.0961127849426775,0.552953829632484,"disgust","Left DLPFC","Number_of_fixations","ET","V2_ptagg"
20,-0.10924223459271,0.552165635027339,"fear","Right FPC","Q_mean","Survey","V2_ptagg"
20,-0.114326843662548,0.551749083395984,"anger","Left VLPFC","Average_pupil_diameter","ET","V2_ptagg"
19,-0.103599810500678,0.549375052095524,"joy","Left OFC","Average_duration_of_fixations","ET","V2_ptagg"
19,-0.0993511933035529,0.549375052095524,"joy","Right OFC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.110625391869755,0.549110258629373,"joy","Right FPC","Q1","Survey","V2_ptagg"
20,-0.0978208865970151,0.544499373941647,"anger","Left FPC","Total_duration_of_fixations","ET","V2_ptagg"
20,0.104871913646774,0.544460596822437,"fear","Right DLPFC","Average_duration_of_fixations","ET","V2_ptagg"
20,0.109783461738366,0.543995355997411,"anger","Left VLPFC","Q_mean","Survey","V2_ptagg"
19,0.0972014307360757,0.542801490741369,"sadness","Left OFC","Q4","Survey","V2_ptagg"
19,0.0957960121406743,0.542801490741369,"sadness","Right OFC","Q4","Survey","V2_ptagg"
20,0.102955429325834,0.541402841082167,"fear","Right DLPFC","Q3","Survey","V2_ptagg"
19,-0.0957615957641846,0.541009993410359,"fear","Left OFC","Q3","Survey","V2_ptagg"
19,-0.0971614855581745,0.541009993410359,"fear","Right OFC","Q3","Survey","V2_ptagg"
20,0.09052675070876,0.540655690173022,"sadness","Left VLPFC","Q2","Survey","V2_ptagg"
20,-0.0971063338852526,0.539751054305746,"fear","Right FPC","Q4","Survey","V2_ptagg"
20,-0.100532689539452,0.539493260712289,"disgust","Left FPC","Q1","Survey","V2_ptagg"
19,0.0929661299685587,0.538564150317249,"disgust","Left DLPFC","Average_duration_of_fixations","ET","V2_ptagg"
20,0.0999061728236044,0.538057590406345,"joy","Left VLPFC","Q2","Survey","V2_ptagg"
20,-0.0946183383541021,0.537978776417493,"joy","Right FPC","Q_mean","Survey","V2_ptagg"
18,0.0781495903442928,0.536968636053864,"anger","Right VLPFC","Total_duration_of_fixations","ET","V2_ptagg"
20,-0.100433619035472,0.536079657271346,"fear","Left VLPFC","Q_mean","Survey","V2_ptagg"
19,-0.0902282501066683,0.5352313623694,"anger","Left DLPFC","Q2","Survey","V2_ptagg"
20,0.0892232974497621,0.533567187395328,"sadness","Right FPC","Q3","Survey","V2_ptagg"
18,-0.0789648573359028,0.533555535433453,"sadness","Right VLPFC","Average_pupil_diameter","ET","V2_ptagg"
18,-0.0918762649815339,0.530970622739443,"anger","Right VLPFC","Number_of_fixations","ET","V2_ptagg"
19,0.082547610087982,0.528890747545947,"joy","Left DLPFC","Q3","Survey","V2_ptagg"
20,0.094843218812763,0.528420682552192,"sadness","Right FPC","Q_mean","Survey","V2_ptagg"
19,0.0809479752718853,0.528254110126372,"sadness","Left OFC","Q_mean","Survey","V2_ptagg"
19,0.086046490282167,0.528254110126372,"sadness","Right OFC","Q_mean","Survey","V2_ptagg"
20,-0.0928466085382668,0.528096747388007,"joy","Left VLPFC","Average_pupil_diameter","ET","V2_ptagg"
18,-0.0673286861390351,0.527821993943034,"fear","Right VLPFC","Average_duration_of_fixations","ET","V2_ptagg"
20,-0.0876015974051404,0.527399996237155,"fear","Right FPC","Q1","Survey","V2_ptagg"
20,-0.0853774515285504,0.527032692418796,"disgust","Left FPC","Q3","Survey","V2_ptagg"
20,-0.0944364015690798,0.5267177783447,"anger","Left VLPFC","Q1","Survey","V2_ptagg"
19,0.0832810125015578,0.524330994349607,"joy","Left DLPFC","Q1","Survey","V2_ptagg"
20,-0.0912894700040921,0.523410495158782,"anger","Left FPC","Average_pupil_diameter","ET","V2_ptagg"
19,0.0770310814538433,0.523137088028587,"disgust","Left DLPFC","Q4","Survey","V2_ptagg"
18,-0.0755221246546991,0.522745685946351,"joy","Right VLPFC","Q4","Survey","V2_ptagg"
18,-0.0730643746822225,0.522544500905701,"disgust","Right VLPFC","Q1","Survey","V2_ptagg"
19,-0.0682809291169953,0.521442582804226,"anger","Left DLPFC","Q_mean","Survey","V2_ptagg"
19,-0.0778692262322725,0.521237135663646,"joy","Left DLPFC","Average_pupil_diameter","ET","V2_ptagg"
20,0.0949733257310614,0.518872218131576,"anger","Left FPC","Number_of_fixations","ET","V2_ptagg"
18,-0.0541187616868546,0.518732695126377,"fear","Left DLPFC","Average_eye_openness","ET","V2_ptagg"
20,-0.0901831823475368,0.51856664780521,"disgust","Right DLPFC","Q3","Survey","V2_ptagg"
20,-0.0886829488057674,0.517752769346943,"joy","Right DLPFC","Average_duration_of_fixations","ET","V2_ptagg"
18,0.0601638044186297,0.517196348641354,"anger","Right VLPFC","Q1","Survey","V2_ptagg"
20,-0.0880538853968514,0.517086106757206,"fear","Left VLPFC","Q3","Survey","V2_ptagg"
20,0.0784895283025356,0.516583025447436,"sadness","Right FPC","Q4","Survey","V2_ptagg"
20,-0.0821021733066888,0.515554371078546,"fear","Right DLPFC","Q1","Survey","V2_ptagg"
18,0.0546698291246494,0.514987246712972,"joy","Right VLPFC","Q1","Survey","V2_ptagg"
19,0.0662274356535532,0.512914848211719,"anger","Left DLPFC","Total_duration_of_fixations","ET","V2_ptagg"
19,-0.0641881582487834,0.512129216970877,"anger","Left DLPFC","Q3","Survey","V2_ptagg"
19,-0.0609459275782726,0.51100414980174,"anger","Left OFC","Number_of_fixations","ET","V2_ptagg"
19,-0.0656654854883445,0.51100414980174,"anger","Right OFC","Number_of_fixations","ET","V2_ptagg"
19,-0.0688453810714075,0.510732426236116,"anger","Left OFC","Q2","Survey","V2_ptagg"
